"reviews"
"Bad exprience. We have booked two courts, each court one hour. They claim that we have cancel one court by phone call. But they didnt show us any record and simply cancel our booking. Won't play here again. POOR BOOKING SYSTEM!!"
"If ur playing futsal make sure u bring ur own ball.
They don't have any ball
The  maintenance is quite bad for the netting
But the court is OK
Price is normal
Court 1 Rm 110
Court 2 around Rm 90"
"Always a good badminton 🏸 courts, open from 2pm onwards"
"many courts n futsal for exercise"
"Ample parking space"
"Is okay not too bad."
"Just nice"
"Nice"
"Ok"
"Bad service worst court"
"(Translated by Google) Best

(Original)
Terbaik"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
