reviews
"Cool gym with good vibe. However there's alot to improve especially in cleaning. Sanitising cloths often smell terrible even in the morning, causing the smell to stay with the equipments. Used masks are noticeable at different places too. The gym should clean the place at closing EVERYDAY and consider hiring fulltime cleaners that go around making sure the place is comfortable for us."
"1. Cheap/tacky gym with no aircond. With Malaysian heat, the inside of the gym is unbearable.
2. The staff is very rude and didn't explain which area is off-limit when you pay-per-entry.
3. Other 5 star reviews are mostly kiss-a$$ paid reviews"
"The gym itself is nice, but paying RM15 for a walk-in is definitely not worth it (the past was RM10 before 6pm++ if I was not mistaken, I entered the gym at 4pm). There is a turf zone that requires people to remove their shoes before entering this zone, first timer to this gym needs to be aware of that (There is a very small sign for you to realize). Instead of asking politely to have us remove our shoes (There is other group of people is also wearing shoes at the turf zone, so we assume its fine to have our shoes on), one of the trainer (I suppose his name starts from J) will just stare at you with a rude face several seconds, and use his finger to point the small sign and said ""look at the sign"". Come on brother, its not that hard to request or ask us nicely to have us remove our shoes. Pointing with your finger + your rude face is not a appropriate way to engage with your customer. I hope that the attitude of this trainer needs to be corrected, if not the gym reputation will definitely be affected by him."
Clean and spacious warehouse gym in the heart of Petaling Jaya fully equipped with everything one would need to achieve their fitness goals. Multiple squat racks and spacious free weights area. Ample parking and friendly staff too.
"I’ve been here for almost 3 months and so far I’m loving the experience. They have the best facility, great environment and friendly staff. Would definitely recommend this gym!"
"The gym is really good, has lots of different equipment and  their staff is really friendly. The personal training also is awsome especially Dr.chris wu, as a beginer i was first  a bit overwhelmed with the idea of working out but with his guidance and support i started loving it and i am seeing loads of progress so far."
"Variety of equipments that are in good condition. Whole area is well ventilated. Easy parking. Clean bath room.
I went in the afternoon. I believe it will look much better at night with all their lightings on."
"Very spacious, well maintained equipment. Only small complaint is the changing room sometimes very smelly, would appreciate if can spray air freshener or something once in a while."
"Parking during peak hours has turned from bad to worse. Just look at the illegal road side parking.
Lockers without lock panel and expect the member to carry the bag throughout the training???
Dressing room with camera due to one incident???
Bad song choice is subjective but deafening volume??? Trying to turn the gym into pub???
The management of this gym lacks common sense"
"5 stars on their personal training program, price is reasonable and coaches are world class

5 stars on their gym environment with all beautiful and friendly members who clean up machines after using

5 stars on gym membership price"
"Best gym. Provide free training. Value for money. Membership fee are reasonable. Worth to join with swimming pool, squash court, sauna n futsal facilities"
The best place to workout and good environment that keeps you motivated you all the time.. Highly recommended
"I would like to take this opportunity to thanks my most pretty and fun PT - Lisa.
Before this I used to have few PT but at the end the result is not my expected. After I meet Lisa, she is so patience on teaching me about the training posture, workout information and diet meal.
After I train with her, I'm so surprise that my result is my unexpected.
Lisa really a good, nice and responsible :)"
"The gym is very well-equipped and clean. Aesthetically pleasing to the eyes, and very cool ambience with an open-air concept. The staffs are friendly too."
"The gym is a really stylish and instagrammable space. It is very spacious and has a wide variety of equipments. The equipments are well maintained and the staff are friendly and knowledgeable. Most importantly, the membership fees is super affordable compared to other commercial gyms. If you’re someone who wants value for money, look no further than K-fitness 🌟"
